Name,Symbol,Price (USD),Market Cap (USD),Volume (24h),Change (24h %)
Bitcoin,BTC,101730.8239841314,2013881499676.5344,38409561055.89079,0.00765041
Ethereum,ETH,3845.298878855966,463160541715.8716,27661018422.47085,-2.01689549
Tether USDt,USDT,0.9998647422834234,140234702457.94742,100549452151.29367,-0.00201542
XRP,XRP,2.4067113253226595,137634695319.4437,6332523480.118946,-3.16075858
Solana,SOL,216.93171061075003,103939467691.60638,2848946330.7240076,-4.04475266
BNB,BNB,706.7056078952302,101771509405.05403,1793400164.9045806,-2.9577786
Dogecoin,DOGE,0.3951948153265494,58175548453.234535,3131397453.264077,-3.38800208
USDC,USDC,1.0000097936421544,42004008235.40362,6111002395.389777,0.02637429
Cardano,ADA,1.0542339287938847,37017029944.18115,967394250.7062613,-5.50796371
TRON,TRX,0.27842997580466106,24012905345.96657,1070958769.71674,-5.54040703
